"TREND_Category","Low (0-5)","Medium (6-10)","High (11-15)","Very High (>15)"
"Low (0-10)",84,114,0,0
"Medium (11-20)",9,7,0,0
"High (21-30)",1,12,0,0
"Very High (>30)",5,8,6,3
