"Statistic","TREND_Depth_Norm","WB_Depth_Norm"
"Min",NA,NA
"1st Qu.",NA,NA
"Median",NA,NA
"Mean",NA,NA
"3rd Qu.",NA,NA
"Max",NA,NA
"NA's",0,0
