"Statistic","TREND_GreenLib_Share","WB_GreenLib_Share"
"Min",NA,NA
"1st Qu.",NA,NA
"Median",NA,NA
"Mean",NA,NA
"3rd Qu.",NA,NA
"Max",NA,NA
"NA's",0,0
