"Index","TREND_Mean","TREND_SD","WB_Mean","WB_SD","Correlation"
"Depth (Normalized)",0.032,0.049,0.088,0.051,0.636
"Hardness Share (v2)",0.228,0.167,0.131,0.104,0.737
"Enforcement Share",0.011,0.031,0.129,0.102,0.389
"Regulatory Space Share",0.724,0.245,0.46,0.307,0.681
"Green Liberalization Share",0.001,0.004,0.001,0.006,0.579
