"Statistic","TREND_Hardness_Share","WB_Hardness_Share"
"Min",NA,NA
"1st Qu.",NA,NA
"Median",NA,NA
"Mean",NA,NA
"3rd Qu.",NA,NA
"Max",NA,NA
"NA's",0,0
