"Statistic","TREND_RegSpace_Share","WB_RegSpace_Share"
"Min",NA,NA
"1st Qu.",NA,NA
"Median",NA,NA
"Mean",NA,NA
"3rd Qu.",NA,NA
"Max",NA,NA
"NA's",0,0
